x; y; z; vx; vy; vz; phi; teta; psi; omegaX; omegaY; omegaZ
0.380897;-1.902703;-0.053149;-2.196105;-2.535565;-2.434203;0.025882;1.951503;4.621218;-4.075914;-0.122409;-0.072121
0.381414;-1.919575;-0.048917;-2.210906;-2.520512;-2.441612;0.025882;1.951503;4.553327;-4.068875;-0.122481;-0.067366
0.381539;-1.936164;-0.049352;-2.223586;-2.514900;-2.445738;0.025882;1.951503;4.584068;-4.056951;-0.122603;-0.058953
0.380716;-1.947870;-0.050846;-2.230893;-2.518282;-2.445693;0.025882;1.951503;4.603248;-4.051568;-0.122658;-0.055044
0.378019;-1.978606;-0.051360;-2.234873;-2.513505;-2.447498;0.025882;1.951502;4.704399;-4.049015;-0.122684;-0.053245
0.378458;-1.992853;-0.051941;-2.241025;-2.515961;-2.444677;0.025882;1.951502;4.805970;-4.041297;-0.122762;-0.047364
0.380613;-2.007950;-0.052730;-2.246942;-2.516419;-2.441303;0.025882;1.951502;4.843174;-4.040294;-0.122772;-0.046723
0.380823;-2.022850;-0.051457;-2.246280;-2.515961;-2.440994;0.025882;1.951502;4.826534;-4.041748;-0.122758;-0.047988
0.381974;-2.037152;-0.051673;-2.248545;-2.517516;-2.440384;0.025882;1.951501;4.933368;-4.031930;-0.122857;-0.040525
0.374465;-2.064784;-0.053268;-2.230238;-2.495205;-2.437314;0.025882;1.951501;4.749883;-4.050048;-0.122675;-0.053344
0.368455;-2.089250;-0.055017;-2.230138;-2.505564;-2.434163;0.025882;1.951501;4.798838;-4.043552;-0.122740;-0.048665
0.354881;-2.119141;-0.056192;-2.223774;-2.519704;-2.432211;0.025882;1.951500;4.605812;-4.046956;-0.122706;-0.052038
0.349979;-2.131681;-0.054077;-2.223576;-2.522947;-2.428596;0.025882;1.951500;4.741924;-4.028583;-0.122890;-0.037662
0.344116;-2.158417;-0.059415;-2.237972;-2.531682;-2.423482;0.025882;1.951499;5.078841;-4.014467;-0.123030;-0.026143
0.350594;-2.169765;-0.052983;-2.250729;-2.541170;-2.424692;0.025882;1.951499;5.484895;-3.998588;-0.123187;-0.013900
0.356316;-2.183974;-0.060820;-2.248467;-2.546550;-2.410802;0.025882;1.951499;5.701757;-4.002844;-0.123145;-0.017615
0.361171;-2.202203;-0.052472;-2.237686;-2.564788;-2.416297;0.025882;1.951499;5.841372;-4.004520;-0.123128;-0.018434
0.362910;-2.210351;-0.056221;-2.223314;-2.582414;-2.413597;0.025882;1.951498;6.027260;-4.001991;-0.123153;-0.016717
0.363145;-2.217253;-0.057031;-2.205614;-2.597915;-2.409659;0.025882;1.951498;6.299906;-3.994798;-0.123224;-0.010741
0.370794;-2.220532;-0.055463;-2.203126;-2.621522;-2.411842;0.025882;1.951498;6.739042;-3.979140;-0.123376;0.000204
0.378039;-2.226631;-0.052241;-2.191729;-2.636939;-2.420232;0.025882;1.951498;7.253570;-3.966247;-0.123500;0.011017
0.375746;-2.229822;-0.051807;-2.154334;-2.665071;-2.430458;0.025882;1.951498;6.844631;-4.029052;-0.122879;-0.020672
0.374297;-2.229152;-0.053754;-2.133727;-2.683925;-2.436524;0.025882;1.951498;6.508979;-4.044447;-0.122726;-0.031738
0.380697;-2.229439;-0.054285;-2.139783;-2.691326;-2.436153;0.025882;1.951498;6.503301;-4.033285;-0.122839;-0.027347
0.386484;-2.233616;-0.053004;-2.141067;-2.688459;-2.438689;0.025882;1.951498;6.564911;-4.029211;-0.122881;-0.027569
0.383304;-2.242615;-0.050562;-2.125109;-2.687124;-2.446480;0.025882;1.951498;6.368008;-4.047681;-0.122697;-0.037727
0.382788;-2.252923;-0.051350;-2.120379;-2.684648;-2.451993;0.025882;1.951498;6.154259;-4.055556;-0.122618;-0.042174
0.383247;-2.270717;-0.050322;-2.123017;-2.683770;-2.456572;0.025882;1.951498;6.245424;-4.036194;-0.122813;-0.039696
0.383381;-2.271383;-0.049922;-2.121661;-2.690132;-2.460595;0.025882;1.951498;6.618655;-4.010589;-0.123067;-0.019906
0.382098;-2.272525;-0.052478;-2.110500;-2.694844;-2.458608;0.025882;1.951498;7.098386;-3.991070;-0.123259;-0.005153
0.382064;-2.277149;-0.049990;-2.096415;-2.694898;-2.463100;0.025882;1.951498;7.803091;-3.962080;-0.123540;0.019197
0.376578;-2.277532;-0.049252;-2.060364;-2.713620;-2.468944;0.025882;1.951498;8.921737;-3.914804;-0.123988;0.054815
0.382822;-2.284437;-0.081213;-2.039433;-2.722884;-2.410020;0.024564;2.133000;10.671217;-4.178127;-0.115028;0.107686
0.377829;-2.286095;-0.042019;-1.968433;-2.761737;-2.441054;0.024060;2.202328;12.019613;-4.096352;-0.117392;0.105066
0.378463;-2.290213;-0.054844;-1.900670;-2.794961;-2.445809;0.025992;2.414511;13.907870;-3.800784;-0.111970;0.121615
0.391120;-2.292425;-0.068814;-1.837595;-2.830515;-2.427135;0.029008;3.119722;17.699446;-3.690459;-0.085778;0.231608
0.396777;-2.285312;-0.028292;-1.712371;-2.889975;-2.483595;0.030637;3.362682;20.636186;-3.609709;-0.096283;0.231973
0.423390;-2.298391;-0.062218;-1.593352;-2.897380;-2.483569;0.042947;4.492171;23.326439;-2.959901;-0.057815;0.226315
0.427199;-2.304209;-0.041544;-1.434845;-2.894033;-2.531491;0.048591;5.127053;25.761485;-3.230763;-0.064537;0.226930
0.418164;-2.302040;-0.044385;-1.266021;-2.875097;-2.575563;0.050747;5.369556;27.699897;-3.380769;-0.078897;0.204709
